schlcode,c_size,c_boys,c_girls,c_numcl,c_pik,c_status,c_leom,c_tip,c_num4rd,c_type,flgrm4,mrkgrm4,ngrm4,flmth4,mrkmth4,nmth4,towncode,townname,popcode,tip_a,grade,classid,classize,_type_,_freq_,cohsize,mathsize,avgmath,passmath,verbsize,avgverb,passverb,studchk,misskov2,missagg,nmiss_k,nmiss_a,classct,math_n,flmath_n,nmath_n,verb_n,flverb_n,nverb_n,impute,nverb_m,nmath_m,tip_s,townid,tipuach
61074,101,48,53,20,1,2,1,1,3,3,23,70,93,25.809999465942383,69,93,8292,<8d>‰‡ˆ<81>Ž,11,5,4,1,33,0,3,101,32,64.1484375,43.7634391784668,32,65.436248779296875,26.215625762939453,NA,1,0,1,0,3,71.54508209228516,16.391803741455078,61,72.39409637451172,21.313114166259766,61,1,32,32,5,8292,5
61077,19,8,11,6,2,2,1,6,1,1,42,62,19,63.15999984741211,53,19,10827,<8d>‰Œ‚’Ž,12,34,4,1,20,0,1,20,19,53.11000061035156,63.20000076293945,19,61.58000183105469,42.099998474121094,1,0,0,0,0,1,53.11000061035156,63.20000076293945,19,61.58000183105469,42.099998474121094,19,0,NA,NA,34,10827,34
61079,48,23,25,13,1,2,1,2,2,2,11,71,38,39.470001220703125,70,38,992,<8f>…Ž˜ „”–Ž,11,12,4,1,26,0,2,52,19,69.20999908447266,47.400001525878906,19,72.62999725341797,10.5,1,0,0,0,0,2,69.8949966430664,39.5,38,70.55000305175781,10.5,38,0,NA,NA,12,992,12
61079,48,23,25,13,1,2,1,2,2,2,11,71,38,39.470001220703125,70,38,992,<8f>…Ž˜ „”–Ž,11,12,4,2,26,0,2,52,19,70.58000183105469,31.600000381469727,19,68.470001220703125,10.5,1,0,0,0,0,2,69.8949966430664,39.5,38,70.55000305175781,10.5,38,0,NA,NA,12,992,12
61080,18,6,12,8,1,1,1,0,1,1,0,85,11,18.18000030517578,75,11,4218,„ƒ™ ‰<81>€™Ž,11,2,4,1,17,0,1,17,11,74.44999694824219,18.200000762939453,11,84.63999938964844,0,1,0,0,0,0,1,74.44999694824219,18.200000762939453,11,84.63999938964844,0,11,0,NA,NA,2,4218,2
61081,13,6,7,7,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,,NA,NA,4,1,14,0,1,14,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,2,3954,2
61084,30,16,14,7,1,1,1,1,1,1,8,80,24,47.619998931884766,63,21,3152,„<81>‚<90>,11,3,4,1,30,0,1,30,21,63.290000915527344,47.599998474121094,24,79.91999816894531,8.300000190734863,1,0,0,0,0,1,63.290000915527344,47.599998474121094,21,79.91999816894531,8.300000190734863,24,0,NA,NA,3,3152,3
61085,44,22,22,13,1,2,1,5,2,2,12,71,42,30.229999542236328,70,43,3095,„˜…„<90>,11,25,4,1,21,0,2,44,20,59.95000076293945,35,19,66.839996337890625,21.100000381469727,1,0,0,0,0,2,69.46558380126953,30.239534378051758,43,70.760955810546875,11.899999618530273,42,0,NA,NA,25,3095,25
61085,44,22,22,13,1,2,1,5,2,2,12,71,42,30.229999542236328,70,43,3095,„˜…„<90>,11,25,4,2,23,0,2,44,23,77.73999786376953,26.100000381469727,23,74,4.300000190734863,1,0,0,0,0,2,69.46558380126953,30.239534378051758,43,70.760955810546875,11.899999618530273,42,0,NA,NA,25,3095,25
61089,70,33,37,15,1,1,1,1,2,2,21,71,70,28.56999969482422,67,70,3590,<8d>‰<90>–<90>,11,4,4,1,37,0,2,70,37,67.51000213623047,32.400001525878906,37,72.2699966430664,18.899999618530273,1,0,0,0,0,2,67.227142333984375,28.534286499023438,70,70.61528778076172,21.398571014404297,70,0,NA,NA,4,3590,4
61089,70,33,37,15,1,1,1,1,2,2,21,71,70,28.56999969482422,67,70,3590,<8d>‰<90>–<90>,11,4,4,2,33,0,2,70,33,66.910003662109375,24.200000762939453,33,68.76000213623047,24.200000762939453,1,0,0,0,0,2,67.227142333984375,28.534286499023438,70,70.61528778076172,21.398571014404297,70,0,NA,NA,4,3590,4
61093,47,0,47,14,2,2,1,7,2,2,6,69,36,34.880001068115234,66,43,2469,š…<81>‰š<90>,12,50,4,1,28,0,2,47,17,52.060001373291016,64.69999694824219,15,58.79999923706055,6.699999809265137,1,0,0,0,0,2,65.88232421875,34.89069747924805,43,68.804168701171875,5.5916666984558105,36,0,NA,NA,50,2469,50
61093,47,0,47,14,2,2,1,7,2,2,6,69,36,34.880001068115234,66,43,2469,š…<81>‰š<90>,12,50,4,2,19,0,2,47,26,74.91999816894531,15.399999618530273,21,75.94999694824219,4.800000190734863,1,0,0,0,0,2,65.88232421875,34.89069747924805,43,68.804168701171875,5.5916666984558105,36,0,NA,NA,50,2469,50
61095,43,18,25,9,2,1,1,1,2,2,13,79,38,50,63,38,4192,ƒ’‘,12,5,4,1,23,0,2,43,20,58,50,20,76.30000305175781,5,1,0,0,0,0,2,62.55210494995117,50,38,78.79158020019531,13.147368431091309,38,0,NA,NA,5,4192,5
61095,43,18,25,9,2,1,1,1,2,2,13,79,38,50,63,38,4192,ƒ’‘,12,5,4,2,20,0,2,43,18,67.61000061035156,50,18,81.55999755859375,22.200000762939453,1,0,0,0,0,2,62.55210494995117,50,38,78.79158020019531,13.147368431091309,38,0,NA,NA,5,4192,5
61101,61,28,33,14,1,2,1,4,2,2,10,70,52,20.75,71,53,26302,š‚ š‰˜—,11,24,4,2,31,0,1,31,28,72.31999969482422,21.399999618530273,27,70.220001220703125,14.800000190734863,1,0,0,0,0,1,72.31999969482422,21.399999618530273,28,70.220001220703125,14.800000190734863,27,0,NA,NA,24,26302,24
61102,76,43,33,14,1,2,1,2,3,2,23,74,53,19.229999542236328,76,52,26302,š‚ š‰˜—,11,17,4,1,33,0,2,65,29,78.029998779296875,20.700000762939453,29,76.76000213623047,10.300000190734863,1,0,0,0,0,2,75.977691650390625,19.240385055541992,52,73.81207275390625,22.616981506347656,53,0,NA,NA,17,26302,17
61102,76,43,33,14,1,2,1,2,3,2,23,74,53,19.229999542236328,76,52,26302,š‚ š‰˜—,11,17,4,2,32,0,2,65,23,73.38999938964844,17.399999618530273,24,70.25,37.5,1,0,0,0,0,2,75.977691650390625,19.240385055541992,52,73.81207275390625,22.616981506347656,53,0,NA,NA,17,26302,17
61103,74,42,32,18,2,2,1,7,3,2,11,70,65,32.310001373291016,67,65,26302,š‚ š‰˜—,12,54,4,1,34,0,2,66,34,65.29000091552734,32.400001525878906,34,68.76000213623047,8.800000190734863,1,0,0,1,0,2,65.29000091552734,32.400001525878906,34,68.76000213623047,8.800000190734863,34,0,NA,NA,54,26302,54
61103,74,42,32,18,2,2,1,7,3,2,11,70,65,32.310001373291016,67,65,26302,š‚ š‰˜—,12,54,4,2,32,0,2,66,31,68.87548065185547,32.21128845214844,31,71.36000061035156,13.41290283203125,NA,1,0,1,0,2,65.29000091552734,32.400001525878906,34,68.76000213623047,8.800000190734863,34,1,31,31,54,26302,54
